86,49,95,55,58
37,56,87,36,64
72,36,98,94,55
67,92,56,83,93
76,94,49,96,96
81,96,85,89,98
37,85,41,55,73
52,38,94,48,43
87,36,94,78,42
81,69,70,84,38
36,40,88,38,88
97,52,78,68,96
48,82,49,96,74
87,58,60,94,75
63,49,79,99,43
35,42,97,45,42
69,69,67,39,75
62,41,46,68,67
82,57,96,71,78
69,99,81,37,35
39,48,61,43,49
76,85,97,86,38
57,49,77,63,70
47,66,93,62,76
79,96,91,40,62
62,78,64,96,96
35,61,96,37,61
43,96,71,85,78
58,93,66,86,96
92,86,46,73,36
37,90,93,36,36
88,35,53,36,87
78,66,66,89,90
51,72,58,45,50
93,37,54,93,70
53,53,54,86,67
74,73,35,45,91
84,57,65,76,41
50,94,36,35,82
46,71,66,43,53
82,37,54,58,88
67,58,70,72,59
52,88,69,95,75
67,67,48,55,82
54,42,41,51,67
82,93,56,64,72
85,88,42,61,61
55,64,62,98,95
82,53,38,69,98
83,51,78,64,80
40,71,58,80,87
94,97,66,67,52
59,88,92,80,58
66,81,57,61,36
51,67,43,77,82
73,76,60,84,59
58,47,94,41,91
70,79,54,99,42
50,48,49,66,97
85,59,92,97,96
56,92,92,83,86
76,49,88,94,42
87,94,39,40,81
89,74,86,50,47
64,53,51,97,53
92,89,96,57,43
46,35,92,35,68
82,35,50,95,98
97,56,60,50,85
91,63,81,96,50
82,73,67,57,44
68,86,44,53,92
35,38,50,58,36
66,58,46,84,69
67,67,95,85,77
46,99,67,74,77
78,63,47,46,80
36,69,42,60,68
41,92,63,70,55
70,44,58,98,83
70,58,57,96,71
46,89,47,57,64
51,96,47,93,53
83,46,95,53,43
62,86,50,46,59
86,87,57,50,91
73,87,76,92,73
48,39,69,52,43
92,51,41,80,47
74,76,43,84,61
39,63,71,72,42
99,51,79,38,70
65,53,95,88,73
53,73,79,47,92
54,95,73,35,37
96,97,59,90,67
72,40,92,78,79
66,79,95,81,55
70,53,54,91,52
81,83,48,49,65
